Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699890    1464 kubelet.go:397] "Adding apiserver pod source"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699905    1464 apiserver.go:41] "Waiting for node sync before watching apiserver pods"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.701103    1464 kuberuntime_manager.go:308] "Container runtime initialized" containerRuntime="containerd" version="v2.3.1" apiVersion="v1"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.702939    1464 kubelet.go:1002] "Not starting ClusterTrustBundle informer because we are in static kubelet mode or the ClusterTrustBundleProjection featuregate is disabled"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.703194    1464 kubelet.go:1029] "Not starting PodCertificateRequest manager because we are in static kubelet mode or the PodCertificateProjection feature gate is disabled"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: E0716 18:36:57.703305    1464 plugins.go:577] "Error initializing dynamic plugin prober" err="error initializing watcher: too many open files"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.705130    1464 server.go:1285] "Started kubelet"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: E0716 18:36:57.705808    1464 event.go:368] "Unable to write event (may retry after sleeping)" err="Post \"https://172.18.0.6:6443/api/v1/namespaces/default/events\": dial tcp 172.18.0.6:6443: connect: connection refused" event="&Event{ObjectMeta:{gcp-cluster-control-plane.18c2d904f4f78a55  default    0 0001-01-01 00:00:00 +0000 UTC <nil> <nil> map[] map[] [] [] []},InvolvedObject:ObjectReference{Kind:Node,Namespace:,Name:gcp-cluster-control-plane,UID:,APIVersion:v1,ResourceVersion:,FieldPath:,},Reason:Starting,Message:Starting kubelet.,Source:EventSource{Component:kubelet,Host:gcp-cluster-control-plane,},FirstTimestamp:2026-07-16 18:36:57.705097813 +0000 UTC m=+0.114192156,LastTimestamp:2026-07-16 18:36:57.705097813 +0000 UTC m=+0.114192156,Count:1,Type:Normal,EventTime:0001-01-01 00:00:00 +0000 UTC,Series:nil,Action:,Related:nil,ReportingController:kubelet,ReportingInstance:gcp-cluster-control-plane,}"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.706269    1464 ratelimit.go:56] "Setting rate limiting for endpoint" service="podresources" qps=100 burstTokens=10
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.706355    1464 server_v1.go:49] "podresources" method="list" useActivePods=true
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.706738    1464 server.go:264] "Starting to serve the podresources API" endpoint="unix:/var/lib/kubelet/pod-resources/kubelet.sock"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.707555    1464 server.go:193] "Starting to listen" address="0.0.0.0" port=10250
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.709221    1464 server.go:354] "Adding debug handlers to kubelet server"
